"Location","Pointers","Byte Count","String Value","New String Value"
"a7f5c","","15","PlayAdxSound %s",""
"a7f6c","","25","PlayAdxSoundArchive %s",""
"a7f88","","10","_BOARD.MRG",""
"a7f94","","3","MAP",""
"a7f98","","10","_AKIBA.MRG",""
"a7fa4","","10","AKIBAM.ADX",""
"a7fb0","","9","_HERO.MRG",""
"a7fbc","1204BC","50","@c00本社に帰りますか@n@l　　　いいえ@n　　　はい@p","@c00Return to Map?@n@l  No@n  Yes@p"
"a7ff0","1BC4|1CC8","2","万","\0"
"a7ff4","1CB8","2","億","M"
"a7ff8","1CD0","2","円","\"
"a7ffc","1DE4|1F3C","2","月","/"
"a8000","1DEC","4","日","  "
"a8008","1DF4","10","日数エラー","DATE ERROR"
"a8014","1DFC","2","年","/"
"a8018","","2","",""
"a801c","1F44","2","日","\0"
"a8024","","20","ARAI MENU ERROR TRAP",""
"a803c","","12","HANDLE ERROR",""
"a804c","2E30","4","はい","Yes"
"a8054","2E3C|3040","6","いいえ","No"
"a805c","368C","30","予告発売日を指定してください。","Comment on the release date?"
"a807c","3698","26","（Ｂボタン：ノーコメント）","(B button: No comment)"
"a8098","","2","０",""
"a809c","","2","１",""
"a80a0","","2","２",""
"a80a4","","2","３",""
"a80a8","","2","４",""
"a80ac","","2","５",""
"a80b0","","2","６",""
"a80b4","","2","７",""
"a80b8","","2","８",""
"a80bc","","2","９",""
"a80c0","1210FC","6","水曜日","Wed"
"a80c8","121100","6","木曜日","Thurs"
"a80d0","121104","6","金曜日","Fri"
"a80d8","121108","6","土曜日","Sat"
"a80e0","12110C","6","日曜日","Sun"
"a80e8","121110","6","月曜日","Mon"
"a80f0","121114","6","火曜日","Tues"
"a80f8","12113C","38","@s@n@c00　　　　　　　　開発Ａ研究室@p","@s@n@c00 - A-Lab -@p"
"a8120","12114C","40","@s@n@c00　　　　　　　フラグ管理ルーム@p","@s@n@c00 - Flag Management Room -@p"
"a814c","12115C","72","@s@n@c00　　　　　　　　　広報企画室@n　　　　　　　推奨レベル　２以上@p","@s@c00 - Public Relations -@n   Planning Room@n   Recommended Level: 2+@p"
"a8198","12116C","70","@s@n@c00　　　　　　　　　　仮眠室@n　　　　　　　推奨レベル　２以上@p","@s@n@c00 - Nap Room -@n   Recommended Level: 2+@p"
"a81e0","12117C","72","@s@n@c00　　　　　　　　ストアルーム@n　　　　　　　推奨レベル　３以上@p","@s@n@c00 - Storage Room -@n   Recommended Level: 3+@p"
"a822c","12118C","74","@s@n@c00　　　　　　　　デバッグルーム@n　　　　　　　推奨レベル　３以上@p","@s@n@c00 - Debug Room -@n   Recommended Level: 3+@p"
